word,similarity
abortion,0.09300625889715468
administration,0.06402275495731861
border,0.07381317658100164
conservative,0.08832203009366983
corrupt,0.08052032163845343
climatechange,0.08078223557610191
democrat,0.046013226356596576
daca,0.054511432697141676
economy,0.06785441795792525
gun,0.07669150897655454
healthcare,0.08435941771315333
impeach,0.06945578718032658
immigration,0.07864722731129878
insurance,0.09066778836126142
liberal,0.03742251305912922
mcconnell,0.05315181480659237
oil,0.08288571075665907
president,0.07795245408128186
pelosi,0.056243262192191223
police,0.11115546413358907
republican,0.053368712207041216
russia,0.09532975226828583
scotus,0.06846437055682285
tax,0.09546613575108827
trump,0.06295782408939421
wall,0.08097145019647536
wealth,0.07829289162211116
welfare,0.08073517546969157
whitehouse,0.06840262623113628
