word,similarity,label,relative_similarity
abortion,0.7172986268997192,disagree,0.0928835131166236
administration,0.4867843687534332,disagree,0.0688904143896871
border,0.5496451258659363,disagree,0.0812625588965112
conservative,0.6720658540725708,disagree,0.08840201076434695
corrupt,0.660589873790741,disagree,0.08680924944532692
climatechange,0.6931957602500916,disagree,0.0772450953155752
democrat,0.3440134525299072,disagree,0.04379057902424485
daca,0.45864182710647583,disagree,0.0495940455536891
economy,0.5471593737602234,disagree,0.06862559841712015
gun,0.5090076923370361,disagree,0.07708813079253196
healthcare,0.5985828042030334,disagree,0.08227533900797655
impeach,0.549592137336731,disagree,0.06862553008688202
immigration,0.6080551147460938,disagree,0.08171920156079984
insurance,0.7229383587837219,disagree,0.09120782755153241
liberal,0.29557234048843384,disagree,0.029535706769439753
mcconnell,0.41844290494918823,disagree,0.05575290949247132
oil,0.680408775806427,disagree,0.08552996803265742
president,0.5370925664901733,disagree,0.07605555915369032
pelosi,0.42952877283096313,disagree,0.060249159541174435
police,0.7865779995918274,disagree,0.11105692554185187
republican,0.3571820557117462,disagree,0.04789109438694009
russia,0.753906786441803,disagree,0.09095343218511044
scotus,0.5518856644630432,disagree,0.06691874986989696
tax,0.6911212801933289,disagree,0.0893346871863442
trump,0.3696770966053009,disagree,0.06592910673277051
wall,0.6475239396095276,disagree,0.08650993127465524
wealth,0.6207252144813538,disagree,0.08631586209834559
welfare,0.7828563451766968,disagree,0.08037641637362423
whitehouse,0.4960128366947174,disagree,0.07917844528227748
answer,0.6938127875328064,base,0.09671502179857984
annual,0.7509873509407043,base,0.09618983923398065
able,0.6334648132324219,base,0.13438213068117758
bring,0.46469369530677795,base,0.06772694875278672
come,0.5536410212516785,base,0.10364221152159955
chance,0.5259557962417603,base,0.0743644538181077
day,0.49043038487434387,base,0.08963125608545204
entire,0.508270800113678,base,0.07570701387131541
far,0.6322920918464661,base,0.07713153623149467
find,0.5755643844604492,base,0.09411469896894904
go,0.5440337657928467,base,0.10760324567888878
get,0.5835365056991577,base,0.10720775809429965
hear,0.5004563927650452,base,0.07609406602383673
help,0.5310056209564209,base,0.09396691764227515
host,0.7753451466560364,base,0.11133553965851502
hold,0.5744737386703491,base,0.09975274474432308
join,0.6930961012840271,base,0.11102117565445256
look,0.6037493944168091,base,0.10099846539861664
long,0.5408923029899597,base,0.10005272279397721
live,0.5877901911735535,base,0.10690062561426664
month,0.577713668346405,base,0.0935306012121827
matter,0.5397472381591797,base,0.07421087271715952
member,0.612797200679779,base,0.10840618547676144
morning,0.5837526917457581,base,0.07720364946709478
meet,0.6886942982673645,base,0.1154956314657336
night,0.6687568426132202,base,0.09001939663439337
near,0.3450167179107666,base,0.05192401514761211
opportunity,0.7026041150093079,base,0.09695818833568237
open,0.4957922399044037,base,0.08533931827240175
plan,0.5423590540885925,base,0.0876331666586283
place,0.46303629875183105,base,0.0725507528263753
read,0.6259799003601074,base,0.11078654110335123
receive,0.6550567150115967,base,0.10840967823318069
recent,0.7091987133026123,base,0.11386246035873733
sure,0.5917611122131348,base,0.11389765406047239
send,0.7830246686935425,base,0.12185839780240855
share,0.6677975654602051,base,0.09697511615982328
small,0.6967162489891052,base,0.10151160669428065
staff,0.6699278354644775,base,0.09772635257388744
shut,0.662641167640686,base,0.08812451551135993
think,0.5828879475593567,base,0.07438254179197976
take,0.5364133715629578,base,0.10845943728082728
today,0.5250552296638489,base,0.09355481094685926
talk,0.5958548784255981,base,0.09317519341386937
weekend,0.7469414472579956,base,0.09730376089333058
week,0.5591182708740234,base,0.08983338028146279
yesterday,0.6643245220184326,base,0.09589536784418551
cancer,0.8480267524719238,agree,0.09804524893629839
education,0.7478758096694946,agree,0.09837827380469838
infrastructure,0.784383237361908,agree,0.1028127663757872
isis,0.7116067409515381,agree,0.09362301367748375
kurd,0.8601202368736267,agree,0.10045181084112834
robocall,0.9082014560699463,agree,0.10355350872003113
service,0.7557238340377808,agree,0.1129661092272975
terrorism,0.7652609348297119,agree,0.09442209598059834
usmca,0.667305588722229,agree,0.0897406505614759
veteran,0.6240274906158447,agree,0.1012329407409407
