word2,cosine sim,word1
sham,0.9869022965431213,impeach_r
pelosi,0.9652318358421326,impeach_r
democrat,0.9635574817657471,impeach_r
circus,0.9633982181549072,impeach_r
dem,0.9527595639228821,impeach_r
charade,0.9504846930503845,impeach_r
donothingdemocrat,0.9465494155883789,impeach_r
witch,0.9446374773979187,impeach_r
speaker,0.941072940826416,impeach_r
craziness,0.9396144151687622,impeach_r
inquiry,0.9485945701599121,impeach_d
misconduct,0.9208416938781738,impeach_d
phase,0.9066096544265747,impeach_d
hearing,0.8951023817062378,impeach_d
wrongdoing,0.8949027061462402,impeach_d
nixon,0.8919961452484131,impeach_d
publicface,0.8913425207138062,impeach_d
conduct,0.8780829310417175,impeach_d
procedure,0.8773897290229797,impeach_d
impartial,0.875548779964447,impeach_d
impeach_b,0.9943475127220154,impeach_a
sham,0.9754459857940674,impeach_a
inquiry,0.9644520878791809,impeach_a
pelosi,0.9590334892272949,impeach_a
circus,0.9563243985176086,impeach_a
transparent,0.9542942047119141,impeach_a
democrat,0.9503306746482849,impeach_a
dem,0.9501169919967651,impeach_a
partisan,0.9461755752563477,impeach_a
ing,0.9451888799667358,impeach_a
impeach_a,0.9943475127220154,impeach_b
inquiry,0.9673982262611389,impeach_b
sham,0.9619593620300293,impeach_b
repadamschiff,0.9510054588317871,impeach_b
goalpost,0.9505660533905029,impeach_b
offense,0.9460669755935669,impeach_b
circus,0.9436830282211304,impeach_b
transparent,0.9428035020828247,impeach_b
pelosi,0.9420762658119202,impeach_b
democrat,0.9404712915420532,impeach_b
